Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude
50,Agricultural,Animal farming,Chicken manure,20.5,,,31.1,3.54,3.89,0.3,40.67,,,,,,,,,,,,,NSW,151.3416153,-33.42225727
51,Urban waste,MSW,MSW (Whole),33.1,56.4,10.4,38.9,5.26,0.7,0.08,21.96,,1.4,0.82,11.0,72.5,1.1,1.3,5.6,1.1,0.03,4.8,0.35,NSW,,
52,Industrial Processing,Rice industry,Rice hulls,22.2,,,38.6,4.73,0.2,0.03,34.24,15.23,0.29,0.25,0.32,93.8,0.35,2.4,0.57,0.01,0.26,1.7,0.05,NSW,144.850579,-35.55444586
54,Industrial Processing,Other,Coffee grounds,1.1,70.0,28.9,57.8,7.6,1.7,0.1,31.7,25.9,,,,,,,,,,,,NSW,,
55,Forestry,Mixed,Hardwood (Eucalyptus),1.0,81.0,18.0,49.0,5.0,0.0,0.0,45.0,20.0,,,,,,,,,,,,WA,117.4605272,-33.5703198
56,Forestry,Mixed,Hardwood (Eucalyptus),2.0,80.0,18.0,49.0,6.0,0.0,0.0,43.0,19.0,,,,,,,,,,,,WA,116.51376,-33.74194976
57,Forestry,Mixed,Hardwood (Eucalyptus),2.4,78.6,19.0,48.7,5.83,0.32,0.05,42.7,19.72,8.9,7.2,0.61,1.31,2.2,8.6,31.2,0.03,0.27,0.28,39.4,WA,117.4605272,-33.5703198
58,Forestry,Mixed,Hardwood (Eucalyptus),2.4,77.7,19.9,49.5,5.82,0.38,0.05,41.85,19.41,2.59,14.3,0.3,0.82,4.5,11.1,29.9,0.01,2.53,0.48,33.47,WA,116.51376,-33.74194976
59,Forestry,Mixed,Hardwood (Corymbia),2.2,79.6,18.2,48.7,5.83,0.32,0.04,42.91,19.05,7.6,12.8,0.56,1.66,4.9,7.3,30.0,0.02,0.78,0.95,33.43,WA,116.51376,-33.74194976
60,Forestry,Leaf/twig,Saltbush,10.8,70.3,18.9,42.3,5.36,1.18,0.27,40.09,16.84,31.0,7.3,0.13,0.8,2.8,8.3,5.3,0.01,0.08,0.25,44.03,WA,117.4605272,-33.5703198
