Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude,Energy_Density_Index,Volatile_Fixed_Ratio,Combustibility_Index,Alkali_Index,Silica_Ratio,Base_Acid_Ratio,Moist_ar,Moisture_Penalty,Effective_HHV
31,Forestry,Branch,Hardwood (Acacia saligna),1.6,80.6,17.8,48.9,5.84,0.58,0.08,43.0,19.0,0.7,12.1,0.3,0.4,3.9,22.7,26.6,0.01,0.03,0.16,33.1,WA,115.9279348,-31.55747342,338.2,4.528089887640449,211.37499999999997,23.4,0.0103359173126615,55.51428571428572,12.2,0.07575757575757576,-212.79999999999998
32,Forestry,Stem,Hardwood (Acacia saligna),0.7,85.2,14.1,49.3,5.92,0.16,0.07,43.85,18.83,4.1,6.9,0.9,1.8,1.9,22.3,25.2,0.02,0.03,0.95,35.9,WA,115.9279348,-31.55747342,265.503,6.042553191489362,379.29,26.4,0.056074766355140186,12.240740740740742,10.1,0.0900900900900901,-171.35299999999998
33,Forestry,Bark,Hardwood (Acacia saligna),3.3,73.2,23.5,50.1,5.44,0.75,0.23,40.18,19.04,1.1,5.7,0.34,1.1,0.9,7.0,42.0,0.02,0.01,0.21,41.62,WA,115.9279348,-31.55747342,447.44,3.1148936170212767,135.5878787878788,8.1,0.023060796645702306,33.27083333333333,10.1,0.0900900900900901,-173.26399999999998
34,Forestry,Leaf/twig,Hardwood (Acacia saligna),6.1,74.1,19.8,49.3,5.74,2.51,0.54,35.81,19.5,0.9,8.1,0.3,3.3,4.0,13.1,32.0,0.02,0.06,0.2,38.02,WA,115.9279348,-31.55747342,386.1,3.742424242424242,63.29508196721312,14.0,0.08229426433915212,11.194444444444446,11.4,0.08064516129032258,-202.8
36,Industrial Processing,Sugar industry,Bagasse,5.8,79.0,15.2,45.3,5.4,0.3,0.1,43.1,19.34,,,,,,,,,,,,NSW,,,293.96799999999996,5.197368421052632,50.68413793103448,,,,,,
37,Agricultural,Crop farming,Sugar cane trash,9.6,82.0,8.4,42.9,5.5,0.6,0.1,41.3,17.99,,,,,,,,,,,,NSW,,,151.11599999999999,9.761904761904761,15.741249999999999,,,,,,
38,Urban Waste,Green waste,Raw Green waste,2.9,78.0,19.1,47.0,5.6,0.3,0.1,44.1,20.32,,,,,,,,,,,,NSW,,,388.112,4.0837696335078535,133.83172413793105,,,,,,
39,Industrial Processing,Timber industry,Woodchips (Softwood),0.8,85.0,14.2,50.3,6.1,0.1,0.2,42.5,19.95,,,,,,,,,,,,NSW,,,283.28999999999996,5.985915492957747,354.11249999999995,,,,,,
40,Industrial Processing,Timber industry,Sawdust (Softwood),0.6,85.0,14.4,49.0,5.9,0.3,0.1,44.1,19.52,,,,,,,,,,,,NSW,,,281.088,5.902777777777778,468.4800000000001,,,,,,
41,Industrial Processing,Timber industry,Sawdust (Hardwood),4.3,80.0,15.7,48.2,5.3,0.0,0.0,42.2,19.02,,,,,,,,,,,,NSW,,,298.614,5.095541401273886,69.44511627906977,,,,,,
44,Industrial Processing,Cotton Industry,Cotton gin trash,7.8,77.1,15.1,45.7,6.03,1.54,0.18,38.75,18.02,,,,,,,,,,,,NSW,149.7709993,-30.21985604,272.102,5.105960264900662,34.88487179487179,,,,16.8,0.056179775280898875,-284.716
45,Industrial Processing,Cotton Industry,Cotton gin trash,11.0,68.5,20.5,43.8,5.07,1.62,0.19,38.32,16.17,0.85,4.4,9.7,41.5,5.3,14.3,15.1,0.48,0.09,3.7,4.58,NSW,149.817368,-29.32557846,331.485,3.341463414634146,30.135,15.15,2.128205128205128,0.45312499999999994,,,
46,Agricultural,Crop farming,Cotton stalks,6.1,,,,,,,,17.7,2.1,4.7,10.4,48.9,2.8,12.0,10.8,0.65,0.09,4.5,3.06,NSW,149.817368,-29.32557846,,,,14.1,3.1548387096774193,0.3372681281618887,,,
47,Industrial Processing,Timber industry,Residues (Mimosa pigra),2.4,78.8,18.8,,,,,,19.25,,,,,,,,,,,,NT,131.1036,-13.2361,361.90000000000003,4.191489361702128,150.79166666666669,,,,,,
48,Industrial Processing,Timber industry,Residues (Mimosa pigra),4.0,76.3,19.7,,,,,,19.39,,,,,,,,,,,,NT,131.1036,-13.2361,381.983,3.8730964467005076,95.49575,,,,,,
49,Urban Waste,Green waste,Raw Green waste,30.9,53.9,15.2,34.4,3.7,0.6,0.09,30.31,,0.99,1.3,7.6,78.1,0.62,2.3,3.6,0.56,0.06,4.8,0.07,NSW,150.7992,-34.4638,,3.5460526315789473,,3.29,15.93877551020408,0.11318553092182031,,,
50,Agricultural,Animal farming,Chicken manure,20.5,,,31.1,3.54,3.89,0.3,40.67,,,,,,,,,,,,,NSW,151.3416153,-33.42225727,,,,,,,,,
51,Urban waste,MSW,MSW (Whole),33.1,56.4,10.4,38.9,5.26,0.7,0.08,21.96,,1.4,0.82,11.0,72.5,1.1,1.3,5.6,1.1,0.03,4.8,0.35,NSW,,,,5.4230769230769225,,2.7,11.292834890965732,0.13437125748502993,,,
52,Industrial Processing,Rice industry,Rice hulls,22.2,,,38.6,4.73,0.2,0.03,34.24,15.23,0.29,0.25,0.32,93.8,0.35,2.4,0.57,0.01,0.26,1.7,0.05,NSW,144.850579,-35.55444586,,,,2.69,114.39024390243902,0.02677433064173396,11.0,0.08333333333333333,-152.3
54,Industrial Processing,Other,Coffee grounds,1.1,70.0,28.9,57.8,7.6,1.7,0.1,31.7,25.9,,,,,,,,,,,,NSW,,,748.5099999999999,2.4221453287197234,680.4636363636362,,,,60.0,0.01639344262295082,-1528.1
55,Forestry,Mixed,Hardwood (Eucalyptus),1.0,81.0,18.0,49.0,5.0,0.0,0.0,45.0,20.0,,,,,,,,,,,,WA,117.4605272,-33.5703198,360.0,4.5,360.0,,,,10.0,0.09090909090909091,-180.0
