Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude,Energy_Density_Index,Volatile_Fixed_Ratio,Combustibility_Index,Alkali_Index,Silica_Ratio,Base_Acid_Ratio,Moist_ar,Moisture_Penalty,Effective_HHV,Cluster
14,Urban Waste,Green waste,Green waste chips,1.6,82.7,15.7,47.8,5.97,0.14,0.02,44.47,18.92,1.77,3.06,7.53,53.0,1.06,2.35,8.62,0.95,0.24,17.5,3.92,NSW,152.2107722,-31.92521006,297.04400000000004,5.267515923566879,185.6525,4.12,4.537671232876712,0.4820750041301834,11.3,0.08130081300813,-194.87600000000003,1.0
15,Forestry,Stem,Hardwood (Blackbutt),0.4,84.4,15.2,48.9,6.05,0.12,0.01,44.52,19.34,2.39,4.32,8.47,37.3,2.68,3.92,13.8,0.42,0.57,22.7,3.43,NSW,,,293.968,5.552631578947369,734.9199999999998,6.3100000000000005,2.05849889624724,0.8918505571334936,11.9,0.0775193798449612,-210.806,1.0
16,Agricultural,Mixed,Chicken manure and rice hulls,31.7,51.4,16.9,31.3,4.18,4.06,0.81,27.95,13.49,3.04,4.97,1.18,28.9,24.6,9.22,20.2,0.07,0.31,1.36,6.15,NSW,,,227.981,3.0414201183431957,7.191829652996845,12.260000000000002,1.148192292411601,0.8819813829787234,41.6,0.0234741784037558,-547.6940000000001,2.0
17,Agricultural,Crop farming,Rice straw,19.3,67.0,13.7,37.1,5.05,0.55,0.05,37.95,14.73,0.3,1.43,0.51,77.7,0.29,8.67,1.86,0.03,0.32,2.82,6.07,NSW,146.4018542,-34.62489477,201.801,4.89051094890511,10.4560103626943,8.97,23.617021276595747,0.078123002173635,13.6,0.0684931506849315,-185.598,2.0
18,Industrial Processing,Rice industry,Rice grain,1.7,87.2,11.1,43.3,6.77,1.37,0.08,46.78,18.26,0.06,14.0,0.3,6.5,48.5,21.1,0.93,0.025,0.34,0.2,8.04,NSW,146.4018542,-34.62489477,202.686,7.855855855855856,119.22705882352942,21.16,0.43536503683858,2.225,10.1,0.0900900900900901,-166.166,1.0
19,Industrial Processing,Wheat industry,Wheat grain,1.7,83.8,14.5,43.7,6.7,2.1,0.12,45.68,18.57,0.06,14.4,0.08,1.09,46.7,30.4,4.14,0.01,0.37,1.4,1.35,NSW,,,269.265,5.779310344827586,158.39117647058822,30.46,0.0587918015102481,17.04273504273504,9.5,0.0952380952380952,-157.845,1.0
20,Industrial Processing,Timber industry,Sawdust (Softwood),0.8,83.3,15.9,48.8,6.22,0.13,0.02,44.03,19.44,1.26,5.85,7.59,28.4,5.18,14.9,10.5,0.63,1.58,16.1,8.01,NSW,149.8493297,-33.69270116,309.096,5.238993710691823,386.37,16.16,1.7370030581039753,0.9016393442622952,12.4,0.0746268656716417,-221.616,1.0
21,Industrial Processing,Timber industry,Residues (Mimosa pigra),4.0,80.7,15.3,49.0,5.69,0.38,0.09,40.84,18.99,0.92,2.29,3.6,58.8,0.87,5.3,7.0,0.83,0.14,9.3,10.95,NT,131.1036,-13.2361,290.547,5.2745098039215685,72.63674999999999,6.22,6.329386437029064,0.2979166666666666,10.9,0.0840336134453781,-188.001,1.0
22,Forestry,Bark,Hardwood (Eucalyptus),1.8,80.1,18.1,47.7,5.73,0.32,0.38,44.07,18.53,6.1,7.0,0.59,1.44,5.0,18.3,12.1,0.43,0.14,1.74,47.16,VIC,145.3977618,-36.3723079,335.39300000000003,4.425414364640884,186.32944444444445,24.4,0.075392670157068,10.266009852216747,24.1,0.0398406374501992,-428.04300000000006,1.0
23,Forestry,Leaf/twig,Hardwood (Eucalyptus),3.9,76.6,19.5,55.1,6.08,2.0,0.4,32.52,22.66,11.9,7.6,0.95,3.74,6.1,17.5,18.3,0.07,0.46,0.8,32.58,VIC,145.3977618,-36.3723079,441.87,3.928205128205128,113.3,29.4,0.1444015444015444,5.692963752665245,22.3,0.0429184549356223,-482.658,1.0
24,Forestry,Leaf/twig,Hardwood (Eucalyptus),1.8,80.3,17.9,48.9,5.8,0.43,0.28,42.79,19.24,10.0,7.6,0.46,1.01,3.6,17.7,17.9,0.44,0.35,4.0,36.94,VIC,145.3977618,-36.3723079,344.396,4.4860335195530725,191.33111111111108,27.7,0.0396078431372549,20.068027210884352,48.4,0.020242914979757,-911.976,1.0
25,Forestry,Mixed,Hardwood (Eucalyptus),1.3,82.2,16.5,49.6,5.9,0.52,0.22,42.46,19.41,15.9,9.3,0.39,1.42,4.3,12.6,16.4,0.08,0.25,1.49,37.87,VIC,145.3977618,-36.3723079,320.265,4.981818181818182,246.35769230769228,28.5,0.0552529182879377,15.02209944751381,57.5,0.017094017094017,-1096.665,1.0
26,Forestry,Mixed,Hardwood (Eucalyptus),1.9,81.1,17.0,50.1,5.94,0.5,0.24,41.32,19.9,10.6,7.7,0.93,4.2,4.1,15.5,20.4,0.07,0.33,1.87,34.3,VIC,145.3977618,-36.3723079,338.29999999999995,4.770588235294118,178.05263157894734,26.1,0.1494661921708185,5.842105263157895,56.9,0.0172711571675302,-1112.41,1.0
27,Forestry,Stem,Hardwood (Eucalyptus),0.7,84.9,14.4,48.8,5.92,0.29,0.15,44.14,18.86,8.1,10.2,0.51,1.08,4.6,18.0,13.9,0.76,0.27,5.0,37.58,VIC,145.3977618,-36.3723079,271.584,5.895833333333334,387.9771428571429,26.1,0.0448132780082987,18.30188679245283,37.8,0.0257731958762886,-694.0479999999999,1.0
28,Forestry,Stem,Hardwood (Eucalyptus),0.9,84.3,14.8,52.3,5.6,0.32,0.15,40.73,20.27,7.0,8.1,0.7,1.67,5.8,21.1,14.0,0.5,0.16,2.01,38.96,VIC,145.3977618,-36.3723079,299.996,5.695945945945946,333.32888888888886,28.1,0.0755656108597285,10.172995780590716,53.1,0.0184842883548983,-1056.067,1.0
29,Forestry,Stem,Hardwood (Eucalyptus),0.9,84.5,14.6,49.4,5.93,0.2,0.11,43.46,19.08,7.4,5.0,1.06,2.97,4.3,20.5,10.9,0.94,0.16,5.3,41.47,VIC,145.3977618,-36.3723079,278.568,5.787671232876712,309.52,27.9,0.1867924528301887,5.260545905707196,31.7,0.0305810397553516,-585.756,1.0
30,Industrial Processing,Timber industry,Woodchips (Hardwood),0.9,85.2,13.9,50.1,5.99,0.12,0.01,42.88,19.57,0.97,11.3,2.46,20.6,1.48,12.4,14.6,0.5,0.31,4.7,30.68,NSW,153.4499355,-28.95409454,272.023,6.129496402877698,302.2477777777778,13.37,0.7953667953667954,1.326973113616652,21.2,0.045045045045045,-395.314,1.0
31,Forestry,Branch,Hardwood (Acacia saligna),1.6,80.6,17.8,48.9,5.84,0.58,0.08,43.0,19.0,0.7,12.1,0.3,0.4,3.9,22.7,26.6,0.01,0.03,0.16,33.1,WA,115.9279348,-31.55747342,338.2,4.528089887640449,211.375,23.4,0.0103359173126615,55.51428571428572,12.2,0.0757575757575757,-212.8,1.0
32,Forestry,Stem,Hardwood (Acacia saligna),0.7,85.2,14.1,49.3,5.92,0.16,0.07,43.85,18.83,4.1,6.9,0.9,1.8,1.9,22.3,25.2,0.02,0.03,0.95,35.9,WA,115.9279348,-31.55747342,265.503,6.042553191489362,379.29,26.4,0.0560747663551401,12.240740740740742,10.1,0.0900900900900901,-171.35299999999998,1.0
33,Forestry,Bark,Hardwood (Acacia saligna),3.3,73.2,23.5,50.1,5.44,0.75,0.23,40.18,19.04,1.1,5.7,0.34,1.1,0.9,7.0,42.0,0.02,0.01,0.21,41.62,WA,115.9279348,-31.55747342,447.44,3.1148936170212767,135.5878787878788,8.1,0.0230607966457023,33.27083333333333,10.1,0.0900900900900901,-173.26399999999998,1.0
34,Forestry,Leaf/twig,Hardwood (Acacia saligna),6.1,74.1,19.8,49.3,5.74,2.51,0.54,35.81,19.5,0.9,8.1,0.3,3.3,4.0,13.1,32.0,0.02,0.06,0.2,38.02,WA,115.9279348,-31.55747342,386.1,3.742424242424242,63.29508196721312,14.0,0.0822942643391521,11.194444444444446,11.4,0.0806451612903225,-202.8,1.0
36,Industrial Processing,Sugar industry,Bagasse,5.8,79.0,15.2,45.3,5.4,0.3,0.1,43.1,19.34,,,,,,,,,,,,NSW,,,293.968,5.197368421052632,50.68413793103448,,,,,,,
37,Agricultural,Crop farming,Sugar cane trash,9.6,82.0,8.4,42.9,5.5,0.6,0.1,41.3,17.99,,,,,,,,,,,,NSW,,,151.116,9.76190476190476,15.74125,,,,,,,
38,Urban Waste,Green waste,Raw Green waste,2.9,78.0,19.1,47.0,5.6,0.3,0.1,44.1,20.32,,,,,,,,,,,,NSW,,,388.112,4.0837696335078535,133.83172413793105,,,,,,,
39,Industrial Processing,Timber industry,Woodchips (Softwood),0.8,85.0,14.2,50.3,6.1,0.1,0.2,42.5,19.95,,,,,,,,,,,,NSW,,,283.29,5.985915492957747,354.11249999999995,,,,,,,
40,Industrial Processing,Timber industry,Sawdust (Softwood),0.6,85.0,14.4,49.0,5.9,0.3,0.1,44.1,19.52,,,,,,,,,,,,NSW,,,281.088,5.902777777777778,468.4800000000001,,,,,,,
41,Industrial Processing,Timber industry,Sawdust (Hardwood),4.3,80.0,15.7,48.2,5.3,0.0,0.0,42.2,19.02,,,,,,,,,,,,NSW,,,298.614,5.095541401273886,69.44511627906977,,,,,,,
44,Industrial Processing,Cotton Industry,Cotton gin trash,7.8,77.1,15.1,45.7,6.03,1.54,0.18,38.75,18.02,,,,,,,,,,,,NSW,149.7709993,-30.21985604,272.102,5.105960264900662,34.88487179487179,,,,16.8,0.0561797752808988,-284.716,1.0
45,Industrial Processing,Cotton Industry,Cotton gin trash,11.0,68.5,20.5,43.8,5.07,1.62,0.19,38.32,16.17,0.85,4.4,9.7,41.5,5.3,14.3,15.1,0.48,0.09,3.7,4.58,NSW,149.817368,-29.32557846,331.485,3.341463414634146,30.135,15.15,2.128205128205128,0.4531249999999999,,,,
46,Agricultural,Crop farming,Cotton stalks,6.1,,,,,,,,17.7,2.1,4.7,10.4,48.9,2.8,12.0,10.8,0.65,0.09,4.5,3.06,NSW,149.817368,-29.32557846,,,,14.1,3.1548387096774198,0.3372681281618887,,,,
47,Industrial Processing,Timber industry,Residues (Mimosa pigra),2.4,78.8,18.8,,,,,,19.25,,,,,,,,,,,,NT,131.1036,-13.2361,361.9,4.191489361702128,150.79166666666669,,,,,,,
48,Industrial Processing,Timber industry,Residues (Mimosa pigra),4.0,76.3,19.7,,,,,,19.39,,,,,,,,,,,,NT,131.1036,-13.2361,381.983,3.873096446700508,95.49575,,,,,,,
49,Urban Waste,Green waste,Raw Green waste,30.9,53.9,15.2,34.4,3.7,0.6,0.09,30.31,,0.99,1.3,7.6,78.1,0.62,2.3,3.6,0.56,0.06,4.8,0.07,NSW,150.7992,-34.4638,,3.546052631578948,,3.29,15.93877551020408,0.1131855309218203,,,,
50,Agricultural,Animal farming,Chicken manure,20.5,,,31.1,3.54,3.89,0.3,40.67,,,,,,,,,,,,,NSW,151.3416153,-33.42225727,,,,,,,,,,
51,Urban waste,MSW,MSW (Whole),33.1,56.4,10.4,38.9,5.26,0.7,0.08,21.96,,1.4,0.82,11.0,72.5,1.1,1.3,5.6,1.1,0.03,4.8,0.35,NSW,,,,5.4230769230769225,,2.7,11.292834890965732,0.1343712574850299,,,,
52,Industrial Processing,Rice industry,Rice hulls,22.2,,,38.6,4.73,0.2,0.03,34.24,15.23,0.29,0.25,0.32,93.8,0.35,2.4,0.57,0.01,0.26,1.7,0.05,NSW,144.850579,-35.55444586,,,,2.69,114.39024390243902,0.0267743306417339,11.0,0.0833333333333333,-152.3,
54,Industrial Processing,Other,Coffee grounds,1.1,70.0,28.9,57.8,7.6,1.7,0.1,31.7,25.9,,,,,,,,,,,,NSW,,,748.5099999999999,2.4221453287197234,680.4636363636362,,,,60.0,0.0163934426229508,-1528.1,1.0
55,Forestry,Mixed,Hardwood (Eucalyptus),1.0,81.0,18.0,49.0,5.0,0.0,0.0,45.0,20.0,,,,,,,,,,,,WA,117.4605272,-33.5703198,360.0,4.5,360.0,,,,10.0,0.0909090909090909,-180.0,1.0
56,Forestry,Mixed,Hardwood (Eucalyptus),2.0,80.0,18.0,49.0,6.0,0.0,0.0,43.0,19.0,,,,,,,,,,,,WA,116.51376,-33.74194976,342.0,4.444444444444445,171.0,,,,10.0,0.0909090909090909,-171.0,1.0
57,Forestry,Mixed,Hardwood (Eucalyptus),2.4,78.6,19.0,48.7,5.83,0.32,0.05,42.7,19.72,8.9,7.2,0.61,1.31,2.2,8.6,31.2,0.03,0.27,0.28,39.4,WA,117.4605272,-33.5703198,374.68,4.136842105263158,156.11666666666665,17.5,0.0341145833333333,20.145833333333336,9.5,0.0952380952380952,-167.62,1.0
58,Forestry,Mixed,Hardwood (Eucalyptus),2.4,77.7,19.9,49.5,5.82,0.38,0.05,41.85,19.41,2.59,14.3,0.3,0.82,4.5,11.1,29.9,0.01,2.53,0.48,33.47,WA,116.51376,-33.74194976,386.259,3.904522613065327,160.94125,13.69,0.018552036199095,39.892857142857146,9.6,0.0943396226415094,-166.926,1.0
59,Forestry,Mixed,Hardwood (Corymbia),2.2,79.6,18.2,48.7,5.83,0.32,0.04,42.91,19.05,7.6,12.8,0.56,1.66,4.9,7.3,30.0,0.02,0.78,0.95,33.43,WA,116.51376,-33.74194976,346.71,4.373626373626373,157.59545454545452,14.9,0.0387850467289719,19.707207207207208,10.1,0.0900900900900901,-173.355,1.0
60,Forestry,Leaf/twig,Saltbush,10.8,70.3,18.9,42.3,5.36,1.18,0.27,40.09,16.84,31.0,7.3,0.13,0.8,2.8,8.3,5.3,0.01,0.08,0.25,44.03,WA,117.4605272,-33.5703198,318.27599999999995,3.71957671957672,29.469999999999995,39.3,0.0634920634920635,13.817204301075268,10.2,0.0892857142857142,-154.928,1.0
61,Forestry,Mixed,Hardwood (Eucalyptus),2.0,77.6,20.4,49.3,5.75,0.33,0.03,42.59,19.04,9.6,15.8,0.39,1.33,6.5,9.0,23.3,0.02,1.22,2.86,29.98,WA,116.51376,-33.74194976,388.416,3.803921568627451,194.208,18.6,0.0340153452685422,24.3953488372093,12.7,0.072992700729927,-222.768,1.0
62,Forestry,Mixed,Hardwood (Eucalyptus),3.0,80.7,16.3,49.1,5.86,0.38,0.03,41.63,19.24,1.9,9.3,0.32,0.6,2.0,5.9,41.0,0.01,0.33,0.5,38.14,WA,116.51376,-33.74194976,313.612,4.950920245398773,104.53733333333332,7.800000000000001,0.0119284294234592,55.21739130434783,10.0,0.0909090909090909,-173.16,1.0
63,Forestry,Mixed,Hardwood (Eucalyptus),1.3,80.4,18.3,50.5,6.0,0.35,0.03,41.82,20.03,5.2,12.2,0.56,1.15,2.9,16.2,26.3,0.04,1.01,0.37,34.07,WA,116.1312159,-33.95445297,366.549,4.39344262295082,281.96076923076924,21.4,0.0298701298701298,22.730994152046783,10.2,0.0892857142857142,-184.276,1.0
64,Forestry,Mixed,Hardwood (Eucalyptus),2.4,76.4,21.2,50.9,5.79,0.35,0.04,40.52,19.91,1.65,12.0,0.48,1.37,5.0,13.7,31.0,0.03,0.62,0.71,33.44,WA,116.51376,-33.74194976,422.092,3.6037735849056607,175.87166666666667,15.35,0.031860465116279,23.627027027027022,11.4,0.0806451612903225,-207.064,1.0
65,Forestry,Mixed,Softwood (Maritine pine),1.0,79.0,20.0,51.0,6.0,0.0,0.0,42.0,20.0,,,,,,,,,,,,WA,117.4605272,-33.5703198,400.0,3.95,400.0,,,,11.0,0.0833333333333333,-200.0,1.0
66,Forestry,Mixed,Softwood (Brutia pine),2.0,80.0,18.0,49.0,5.0,0.0,0.0,44.0,19.0,,,,,,,,,,,,WA,115.7339,-33.7294,342.0,4.444444444444445,171.0,,,,11.0,0.0833333333333333,-190.0,1.0
67,Forestry,Mixed,Hardwood (Eucalyptus),2.6,78.9,18.5,48.8,5.72,0.26,0.03,42.59,18.83,2.69,10.8,0.33,0.58,1.6,6.6,37.1,0.02,1.05,0.16,39.07,WA,116.1312159,-33.95445297,348.355,4.264864864864865,133.98269230769228,9.29,0.0121085594989561,52.81318681318682,10.7,0.0854700854700854,-182.651,1.0
68,Agricultural,Crop farming,Lucerne stems,3.0,79.6,17.4,47.9,5.96,1.08,0.09,41.97,18.93,3.3,8.8,0.85,3.0,2.7,13.9,31.0,0.05,0.06,1.83,34.51,WA,117.4605272,-33.5703198,329.38199999999995,4.574712643678161,109.79399999999998,17.2,0.0753768844221105,10.812987012987012,11.1,0.0826446280991735,-191.193,1.0
69,Agricultural,Crop farming,Wheat straw,2.8,80.1,17.1,47.0,5.84,0.35,0.07,43.94,18.46,2.0,7.2,0.53,35.0,1.0,31.0,4.8,0.02,0.03,0.62,17.8,WA,117.4605272,-33.5703198,315.66600000000005,4.6842105263157885,112.73785714285717,33.0,2.9166666666666665,0.3551927948212777,56.8,0.0173010380622837,-1030.068,1.0
70,Industrial Processing,Timber industry,Residues (Softwood),0.4,82.3,17.3,52.1,5.96,0.13,0.02,41.39,20.05,1.2,9.6,13.8,9.1,6.3,17.9,18.0,0.15,1.25,1.98,20.72,QLD,152.6657079,-26.18344803,346.865,4.757225433526012,867.1625,19.1,0.3297101449275362,1.291703056768559,54.6,0.0179856115107913,-1074.68,1.0
71,Industrial Processing,Timber industry,Sawdust (Hardwood),0.4,84.4,15.2,50.8,5.9,0.01,0.01,42.88,19.24,2.7,10.9,3.5,7.6,1.6,6.9,34.0,0.14,1.91,2.98,27.77,QLD,152.6657079,-26.18344803,292.448,5.552631578947369,731.1199999999999,9.6,0.1692650334075723,4.313513513513513,30.4,0.0318471337579617,-565.656,1.0
72,Industrial Processing,Timber industry,Woodchips (Softwood),1.4,81.7,16.9,46.9,6.22,0.19,0.04,45.25,18.57,,,,,,,,,,,,VIC,145.9967675,-36.57890775,313.833,4.83431952662722,224.16642857142853,,,,10.2,0.0892857142857142,-170.844,1.0
73,Industrial Processing,Timber industry,Woodchips (Softwood),1.7,82.0,16.3,46.9,6.18,0.1,0.02,45.1,22.26,,,,,,,,,,,,VIC,145.9967675,-36.57890775,362.838,5.030674846625766,213.43411764705888,,,,12.5,0.074074074074074,-255.99,1.0
74,Industrial Processing,Timber industry,Residue (Particle board),0.3,81.8,17.9,45.8,6.44,3.32,0.06,44.08,18.7,,,,,,,,,,,,VIC,145.9967675,-36.57890775,334.73,4.5698324022346375,1115.7666666666669,,,,7.8,0.1136363636363636,-127.16,1.0
75,Industrial Processing,Timber industry,Sawdust (Unspecified),0.5,80.6,18.9,45.7,6.51,6.33,0.07,40.89,19.37,,,,,,,,,,,,VIC,145.9967675,-36.57890775,366.093,4.264550264550264,732.186,,,,4.8,0.1724137931034483,-73.606,1.0
76,Forestry,Leaf/twig,Hardwood (Eucalyptus),2.1,77.9,20.0,51.8,6.13,0.57,0.07,39.33,21.15,14.2,9.4,1.06,2.29,6.0,13.1,21.6,0.06,0.05,0.73,31.51,WA,117.4605272,-33.5703198,423.0,3.895000000000001,201.42857142857144,27.3,0.0738709677419354,9.471641791044776,10.2,0.0892857142857142,-194.58,1.0
77,Forestry,Bark,Hardwood (Eucalyptus),1.5,77.6,20.9,49.0,5.71,0.25,0.08,43.46,19.5,12.5,14.5,0.8,1.86,1.69,11.2,22.4,0.05,0.28,0.33,34.39,WA,117.4605272,-33.5703198,407.55,3.712918660287081,271.7,23.7,0.0504065040650406,13.996240601503755,10.5,0.0869565217391304,-185.25,1.0
78,Forestry,Stem,Hardwood (Eucalyptus),0.3,86.1,13.6,48.8,5.91,0.16,0.03,44.8,19.45,4.0,20.2,0.41,1.33,1.9,15.8,23.1,0.04,0.62,1.82,30.78,WA,117.4605272,-33.5703198,264.52,6.330882352941177,881.7333333333333,19.8,0.0307159353348729,25.93103448275862,9.3,0.0970873786407767,-161.435,1.0
79,Forestry,Leaf/twig,Hardwood (Eucalyptus),2.6,77.5,19.9,52.4,6.41,1.0,0.06,37.53,21.64,8.0,10.5,0.25,0.76,7.8,15.3,24.2,0.01,0.7,0.29,32.19,WA,116.51376,-33.74194976,430.636,3.894472361809045,165.62923076923076,23.3,0.0219020172910662,34.64356435643565,9.7,0.0934579439252336,-188.268,1.0
80,Forestry,Bark,Hardwood (Eucalyptus),3.0,76.0,21.0,46.8,5.45,0.3,0.03,44.42,18.2,2.64,23.4,0.11,0.28,4.5,5.9,30.7,0.01,1.28,0.2,30.98,WA,116.51376,-33.74194976,382.2,3.619047619047619,127.4,8.540000000000001,0.0051756007393715,139.23076923076923,11.3,0.08130081300813,-187.46,1.0
81,Forestry,Stem,Hardwood (Eucalyptus),0.4,86.0,13.6,48.6,6.52,0.25,0.02,44.21,19.18,3.2,14.5,0.27,1.02,14.0,18.2,26.4,0.02,1.0,0.46,20.93,WA,116.51376,-33.74194976,260.848,6.323529411764706,652.12,21.4,0.0249388753056234,32.06201550387597,8.9,0.101010101010101,-151.522,1.0
82,Forestry,Leaf/twig,Hardwood (Eucalyptus),3.7,79.2,17.1,53.5,6.21,0.83,0.06,35.7,21.67,2.91,8.3,0.47,1.52,2.7,8.7,35.7,0.02,0.55,2.43,36.7,WA,116.51376,-33.74194976,370.5570000000001,4.631578947368421,100.15054054054056,11.61,0.0345454545454545,23.331658291457288,9.8,0.0925925925925925,-190.69600000000003,1.0
83,Forestry,Bark,Hardwood (Eucalyptus),6.4,73.5,20.1,45.9,5.23,0.34,0.03,42.1,16.51,1.03,9.2,0.25,0.36,1.0,2.65,43.0,0.01,0.19,0.13,42.18,WA,116.51376,-33.74194976,331.85100000000006,3.656716417910448,51.85171875,3.68,0.0068965517241379,85.78688524590164,9.3,0.0970873786407767,-137.03300000000002,1.0
84,Forestry,Stem,Hardwood (Eucalyptus),0.5,86.6,12.9,48.9,6.05,0.13,0.02,44.4,19.02,3.2,12.6,0.47,0.52,8.3,20.3,23.6,0.02,0.24,1.71,29.04,WA,116.51376,-33.74194976,245.358,6.713178294573643,490.716,23.5,0.0143646408839779,38.292929292929294,8.9,0.101010101010101,-150.258,1.0
85,Forestry,Leaf/twig,Softwood (Maritine pine),2.4,78.2,19.4,51.5,6.3,1.01,0.09,38.7,20.7,2.09,16.3,2.08,3.5,8.9,17.3,21.2,0.1,0.47,1.88,26.18,WA,117.4605272,-33.5703198,401.58,4.030927835051547,167.325,19.39,0.0933333333333333,7.057347670250897,13.3,0.0699300699300699,-254.61,1.0
86,Forestry,Bark,Softwood (Maritine pine),2.0,72.4,25.6,52.2,6.04,0.5,0.05,39.21,20.38,2.78,9.9,2.24,4.1,5.6,16.6,27.1,0.11,0.13,0.99,30.45,WA,117.4605272,-33.5703198,521.728,2.828125,260.864,19.380000000000003,0.1108108108108108,5.99211356466877,10.6,0.0862068965517241,-195.648,1.0
87,Forestry,Stem,Softwood (Maritine pine),0.3,84.4,15.3,50.3,6.1,0.21,0.02,43.07,19.66,1.4,16.3,0.54,1.9,4.4,18.6,24.8,0.03,0.24,0.74,31.05,WA,117.4605272,-33.5703198,300.798,5.516339869281046,1002.66,20.0,0.0462287104622871,17.14754098360656,9.8,0.0925925925925925,-173.008,1.0
88,Forestry,Leaf/twig,Softwood (Brutia pine),3.4,77.0,19.6,51.0,6.16,0.49,0.06,38.89,20.12,3.2,4.5,1.12,6.1,2.71,9.9,35.0,0.06,0.05,2.48,34.88,WA,115.7339,-33.7294,394.352,3.928571428571429,115.9858823529412,13.1,0.1544303797468354,5.814404432132964,13.3,0.0699300699300699,-247.47600000000003,1.0
