Sample_ID,CV_MJ/kg_db,VM_db,FC_db,Ash_db,Volatile_Fixed_Ratio,Moisture_Penalty,Cluster,Biomass_Type
112,18.56,89.2,10.6,0.2,8.415094339622643,0.0943396226415094,1,Industrial Processing
113,17.57,88.1,11.7,0.2,7.52991452991453,0.0854700854700854,1,Industrial Processing
114,18.38,87.8,12.1,0.1,7.256198347107438,0.091743119266055,1,Industrial Processing
115,19.5,84.9,15.0,0.1,5.66,0.0862068965517241,1,Industrial Processing
116,19.9,79.8,18.4,1.8,4.336956521739131,0.0555555555555555,1,Forestry
117,20.93,78.6,19.3,2.1,4.072538860103626,0.0714285714285714,1,Forestry
118,20.9,79.6,20.1,0.3,3.960199004975124,0.0970873786407767,1,Industrial Processing
119,20.3,77.1,16.9,6.1,4.562130177514793,0.0139664804469273,1,Urban Waste
120,18.7,69.9,21.8,8.3,3.206422018348624,0.0164203612479474,1,Urban Waste
121,16.3,74.8,15.5,9.7,4.825806451612903,0.048076923076923,1,Urban Waste
122,15.5,75.4,12.4,12.2,6.080645161290323,0.0384615384615384,1,Urban Waste
123,25.9,91.5,4.6,3.9,19.89130434782609,0.037593984962406,1,Urban Waste
124,40.6,97.8,0.9,1.3,108.66666666666666,0.3125,0,Urban Waste
125,20.9,81.7,16.9,1.4,4.83431952662722,0.0473933649289099,1,Urban Waste
126,19.5,80.8,18.2,1.0,4.43956043956044,0.0775193798449612,1,Urban Waste
127,25.6,72.3,7.3,20.4,9.904109589041097,0.0342465753424657,1,Urban Waste
128,22.5,77.4,15.1,7.6,5.125827814569537,0.0198019801980198,1,Urban Waste
129,17.2,65.5,20.3,14.2,3.226600985221675,0.0336700336700336,1,Urban Waste
130,18.4,71.1,21.0,7.9,3.385714285714285,0.0273972602739726,1,Urban Waste
131,17.7,68.1,20.4,11.5,3.338235294117647,0.0212765957446808,1,Urban Waste
132,16.97,72.1,19.9,8.0,3.6231155778894473,0.0251256281407035,1,Urban Waste
133,19.41,83.75,15.72,0.53,5.327608142493639,0.0432900432900432,1,Industrial Processing
134,14.0,50.3,8.4,41.3,5.988095238095237,0.0133155792276964,2,Urban Waste
135,21.3,85.4,14.2,0.41,6.014084507042254,0.131578947368421,1,Industrial Processing
137,19.25,82.0,16.8,1.1,4.8809523809523805,0.0943396226415094,1,Industrial Processing
138,19.91,73.4,18.6,8.0,3.946236559139785,0.131578947368421,1,Industrial Processing
139,18.58,71.05,20.54,8.41,3.4591041869522883,0.0242130750605326,1,Industrial Processing
140,17.9,68.85,17.56,13.59,3.920842824601367,0.0298507462686567,1,Industrial Processing
